가계신용,
날짜,전년동기대비 증가율
2002 Q4,
2003 Q1,
2003 Q2,
2003 Q3,
2003 Q4,1.579343766
2004 Q1,1.944918788
2004 Q2,2.743476991
2004 Q3,4.100615824
2004 Q4,4.692539838
2005 Q1,5.222171741
2005 Q2,8.109524801
2005 Q3,9.232759051
2005 Q4,9.847944952
2006 Q1,10.72869407
2006 Q2,10.33865177
2006 Q3,10.50466339
2006 Q4,11.83738911
2007 Q1,11.27647226
2007 Q2,10.57495974
2007 Q3,10.22885304
2007 Q4,9.596082046
2008 Q1,10.5831476
2008 Q2,10.90173519
2008 Q3,11.09900369
2008 Q4,8.735768962
2009 Q1,6.375780107
2009 Q2,5.459571953
2009 Q3,5.733996402
2009 Q4,7.2511736
2010 Q1,8.738249529
2010 Q2,8.661648834
2010 Q3,8.19442485
2010 Q4,8.660511997
2011 Q1,9.215986854
2011 Q2,9.629884959
2011 Q3,9.225652094
2011 Q4,8.654352473
2012 Q1,7.125267061
2012 Q2,5.857806316
2012 Q3,5.550945413
2012 Q4,5.199101207
2013 Q1,5.063175395
2013 Q2,5.501013611
2013 Q3,5.620159159
2013 Q4,5.732145777
2014 Q1,6.186816169
2014 Q2,5.741649066
2014 Q3,6.322808487
2014 Q4,6.498142125
2015 Q1,7.419343922
2015 Q2,9.2332242
2015 Q3,10.26594468
2015 Q4,10.85823553
2016 Q1,11.41294085
2016 Q2,11.13952678
2016 Q3,11.29384858
2016 Q4,11.58903605
2017 Q1,11.05815133
2017 Q2,10.35111633
2017 Q3,9.460524212
2017 Q4,8.052025479
2018 Q1,8.03209113
2018 Q2,7.531188275
2018 Q3,6.675205832
2018 Q4,5.934315042
2019 Q1,4.912068209
2019 Q2,4.344101681
2019 Q3,3.899139187
2019 Q4,4.157479846
2020 Q1,4.63969158
2020 Q2,5.193920098
2020 Q3,7.007627427
2020 Q4,8.052226892
2021 Q1,9.618618424
2021 Q2,10.53766551
2021 Q3,9.652271007
2021 Q4,7.714650497
2022 Q1,5.446710808
2022 Q2,3.19516017
2022 Q3,1.385421445
2022 Q4,0.249335931
2023 Q1,-0.530449161
2023 Q2,-0.38144927
2023 Q3,0.391174641
2023 Q4,0.958360867
2024 Q1,1.582128012
2024 Q2,1.875544378